mse:0.7048059105873108, mae:0.6108421087265015
mse:0.11206381767988205, mae:0.20098544657230377
mse:0.2851990759372711, mae:0.3527861535549164
mse:0.2000768929719925, mae:0.2493971288204193
mse:0.46717143058776855, mae:0.4391574263572693
mse:0.23477086424827576, mae:0.3005261719226837
mse:0.11715440452098846, mae:0.21471188962459564
mse:0.5677205324172974, mae:0.35425031185150146
mse:0.4518008530139923, mae:0.33045250177383423
mse:0.37900131940841675, mae:0.37888452410697937
mse:0.4784889221191406, mae:0.4294763505458832
mse:0.11263366788625717, mae:0.18097826838493347
mse:0.051669009029865265, mae:0.1537870168685913
mse:0.045891210436820984, mae:0.14678417146205902
mse:0.27325400710105896, mae:0.26642054319381714
mse:0.22865040600299835, mae:0.37892311811447144
mse:0.23969893157482147, mae:0.25764667987823486
mse:0.32296454906463623, mae:0.3777357339859009
mse:0.29360246658325195, mae:0.3794439435005188
mse:0.5904662013053894, mae:0.5281685590744019
mse:0.42111343145370483, mae:0.4589961767196655
mse:0.7262942790985107, mae:0.4387589991092682
mse:0.5441015958786011, mae:0.6649929285049438
mse:0.6198242902755737, mae:0.27216190099716187
mse:0.3495681583881378, mae:0.38322553038597107
mse:0.11213615536689758, mae:0.18377602100372314
mse:0.6821426153182983, mae:0.5404638648033142
mse:0.5174686908721924, mae:0.36288705468177795
mse:0.34655988216400146, mae:0.37044498324394226
mse:0.7752227187156677, mae:0.6106331944465637
mse:0.000871606229338795, mae:0.025429844856262207
mse:0.12435110658407211, mae:0.2048957794904709
mse:0.10158085823059082, mae:0.17652389407157898
mse:0.13347391784191132, mae:0.22994820773601532
mse:0.5130952596664429, mae:0.3451785147190094
mse:0.3334868252277374, mae:0.36372485756874084
mse:0.07485225051641464, mae:0.17240209877490997
mse:0.07242492586374283, mae:0.18367739021778107
mse:0.12594231963157654, mae:0.23472283780574799
mse:0.3139362335205078, mae:0.2988826632499695
mse:0.015339320525527, mae:0.09019747376441956
mse:0.414253294467926, mae:0.40756016969680786
mse:0.6076413989067078, mae:0.4752410650253296
mse:0.2677038908004761, mae:0.26465287804603577
mse:0.4687487781047821, mae:0.3367862105369568
mse:0.46226441860198975, mae:0.3358381986618042
mse:0.2607448399066925, mae:0.2662001848220825
mse:0.46956557035446167, mae:0.4315311312675476
mse:0.21244269609451294, mae:0.2559816837310791
mse:0.3316826820373535, mae:0.3787289559841156
mse:0.3431417942047119, mae:0.37130144238471985
mse:0.5152338147163391, mae:0.4935011863708496
mse:0.25937193632125854, mae:0.3240728974342346
mse:0.38755112886428833, mae:0.3246801793575287
mse:0.3583849370479584, mae:0.3302592635154724
mse:0.45599955320358276, mae:0.3656047284603119
mse:0.5779622793197632, mae:0.3666841685771942
mse:0.6921252608299255, mae:0.5387404561042786
mse:0.44469988346099854, mae:0.34139883518218994
mse:0.4933348000049591, mae:0.35345274209976196
mse:0.7966901063919067, mae:0.3599972128868103
mse:0.21119756996631622, mae:0.26655417680740356
mse:0.7192034125328064, mae:0.35152125358581543
mse:0.3394204080104828, mae:0.2502391040325165
mse:0.8356931805610657, mae:0.4851641356945038
mse:0.645051896572113, mae:0.5074138641357422
mse:0.3586636185646057, mae:0.25422677397727966
mse:0.12219466269016266, mae:0.21429380774497986
mse:0.27212345600128174, mae:0.27629759907722473
mse:0.3504493832588196, mae:0.4456794559955597
mse:0.6349700093269348, mae:0.39927276968955994
mse:0.08859816938638687, mae:0.1903417408466339
mse:0.4706540107727051, mae:0.4350453019142151
mse:0.11302156001329422, mae:0.20907145738601685
mse:0.10178478807210922, mae:0.1747620552778244
mse:0.08764397352933884, mae:0.16370157897472382
mse:0.03717957064509392, mae:0.12852296233177185
mse:0.07448679953813553, mae:0.17237551510334015
mse:0.12029564380645752, mae:0.21874117851257324
mse:0.060293857008218765, mae:0.15270191431045532
mse:0.597253680229187, mae:0.5323362350463867
mse:0.5089226365089417, mae:0.4783150255680084
mse:0.18392719328403473, mae:0.3003276586532593
mse:0.42150530219078064, mae:0.30266374349594116
mse:0.5895171761512756, mae:0.3765290677547455
mse:0.4600667655467987, mae:0.3443771004676819
mse:0.5699175000190735, mae:0.35999271273612976
mse:0.12442795932292938, mae:0.19048961997032166
mse:0.048492249101400375, mae:0.1572403758764267
mse:0.10602844506502151, mae:0.1805175542831421
mse:0.0904821828007698, mae:0.20140811800956726
mse:0.5351828336715698, mae:0.4616350829601288
mse:0.2146603912115097, mae:0.258199542760849
mse:0.14659780263900757, mae:0.25374165177345276
mse:0.29066604375839233, mae:0.28608620166778564
mse:0.06347532570362091, mae:0.13954900205135345
mse:0.36693987250328064, mae:0.30153897404670715
mse:0.28134697675704956, mae:0.29047608375549316
mse:0.5128462910652161, mae:0.36113280057907104
mse:0.2898405194282532, mae:0.29924342036247253
mse:0.4220675230026245, mae:0.33220526576042175
mse:0.46097347140312195, mae:0.34326446056365967
mse:0.16175910830497742, mae:0.2763270437717438
mse:0.15656952559947968, mae:0.2740595042705536
mse:0.25684741139411926, mae:0.3524066209793091
mse:0.31834834814071655, mae:0.36827191710472107
mse:0.3562779426574707, mae:0.26875942945480347
mse:7.448150157928467, mae:1.933853030204773
mse:0.04090862721204758, mae:0.15276695787906647
mse:0.3145485520362854, mae:0.4123198390007019
mse:0.41397568583488464, mae:0.3428455591201782
mse:0.38475361466407776, mae:0.34134048223495483
mse:3.5193116664886475, mae:0.4642527103424072
mse:0.28403040766716003, mae:0.2991237938404083
mse:0.7933989763259888, mae:0.3566576838493347
mse:0.4042864739894867, mae:0.33811649680137634
mse:0.4368426501750946, mae:0.36626875400543213
mse:0.39828452467918396, mae:0.35599982738494873
mse:0.31641244888305664, mae:0.3175985813140869
mse:0.40904802083969116, mae:0.356345534324646
mse:0.0021224382799118757, mae:0.028630783781409264
mse:0.2585143744945526, mae:0.3623032569885254
mse:0.3335755467414856, mae:0.32527557015419006
mse:0.0305960550904274, mae:0.13543961942195892
mse:0.384500652551651, mae:0.3618445098400116
